datetime;make;model;year;engine;mileage;price;fuel_type;new
01/08/2018;Honda;Civic;2007;1.8;267.0;4.39;P;false
10/09/2020;Mazda;323;2000;1.6;323.0;500;P;false
5/13/2020;Volkswagen;Passat(B4);1993;1.9;350.0;700;D;true
09/04/2022;Mercedes;E;2004;3.2;176.0;6.999;P;false
05/03/2022;Volvo;S80;2011;2.0;220.0;11.45;D;false
5/21/2020;Opel;Zafira;2006;1.9;226.0;3.2;D;true
02/02/2018;Nissan;Qashqai;2012;1.6;178.0;12.5;D;false
11/25/2019;Audi;A4;2001;1.9;230.0;2.199;D;true
2/29/2020;Volvo;XC60;2009;2.4;196.0;12.7;D;false
11/14/2020;Toyota;Yaris;2006;1.3;180.0;3.9;P;true
1/18/2020;Volvo;S60;2012;2.0;110.0;12.65;D;true
12/30/2017;Mercedes;Vito;2003;2.2;336.0;3.7;D;false
4/29/2022;Opel;Meriva;2007;1.7;211.0;4.19;D;false
05/12/2018;Opel;Astra;2009;1.7;214.0;4.9;D;false
1/24/2021;Bmw;X6;2009;3.5;190.0;22;D;false
9/14/2020;Volkswagen;Caravelle;2013;2.0;125.0;17.25;D;false
10/05/2021;Mitsubishi;Lancer;1993;2.0;280.0;400;P;false
11/17/2021;Audi;A6;2003;1.9;260.0;4.35;D;true
06/10/2021;Toyota;Avensis;2006;2.4;222.0;4.2;P;false
12/05/2021;Bmw;5;1993;2.5;389.0;800;D;false
10/10/2017;Opel;Zafira;2008;1.7;257.0;4.4;D;true
9/29/2019;Opel;Astra;2000;1.6;357.0;800;P;true
10/22/2020;Audi;A4;1998;1.8;368.0;1.39;P;true
1/21/2020;Mercedes;CLK;1998;2.3;230.0;1.2;P;false
12/02/2021;Bmw;X6;2014;3.0;70.0;39.9;D;true
7/24/2018;Lexus;RX;2013;3.0;151.0;30.95;D;false
04/07/2022;Audi;A3;1999;1.6;287.0;1.998;P;true
10/20/2020;Audi;A4;1997;1.6;332.0;1.19;P;true
6/21/2021;Bmw;5;2002;3.0;440.0;2.65;D;false
6/19/2020;Volkswagen;Golf4;2003;1.6;221.0;1.85;P;true
2/14/2022;Volvo;V70;2004;2.4;266.0;3.49;D;false
8/29/2020;Peugeot;508;2011;1.6;88.0;8.8;D;false
6/21/2017;Audi;A4;2002;2.5;262.0;3.45;D;false
11/25/2020;Bmw;5;1994;2.5;335.0;799;D;true
5/25/2020;Bmw;5;1996;2.0;324.0;1.45;P;false
7/20/2021;Opel;Omega;2004;2.2;229.0;2.15;D;true
3/26/2021;Opel;Vivaro;2004;1.9;213.0;4.19;D;false
11/03/2018;Volkswagen;Golf4;1999;1.9;320.0;1.25;D;false
8/18/2022;Opel;Meriva;2004;1.7;269.0;2.95;D;false
1/30/2022;Volkswagen;Golf3;1991;1.9;56.0;1.25;D;false
5/28/2019;Mazda;MPV;2000;2.0;400.0;750;P;false
06/02/2019;Renault;Modus;2005;1.4;275.0;2.1;D;false
3/18/2018;Volkswagen;Passat(B3);1992;1.8;310.0;200;P;false
3/26/2022;Volkswagen;Golf5;2006;1.9;217.0;4.1;D;false
8/22/2021;D0A3D0B0D0B7;3303;1991;2.5;12.0;450;P;true
5/28/2022;Mazda;Mazda6;2003;1.8;272.0;1.6;P;false
5/27/2022;Peugeot;306;1998;1.6;346.0;215;P;true
4/20/2020;Opel;Astra;2005;1.7;358.0;2.57;D;false
07/07/2022;Opel;Astra;1994;1.6;180.0;500;P;false
8/18/2020;Mercedes;Sprinter;2008;2.2;370.0;8.9;D;false
9/20/2018;Hyundai;Terracan;2003;2.9;248.0;3;D;false
06/12/2021;Bmw;3;1994;1.8;220.0;850;P;false
12/18/2018;Volkswagen;Transporter;1995;2.4;297.0;1.899;D;false
5/20/2018;Mercedes;C;1997;2.2;269.0;1.1;D;false
6/24/2019;Opel;Vectra;2000;2.2;250.0;1;D;true
11/25/2020;Audi;80;1994;2.0;403.0;1.05;P;false
6/14/2017;Mercedes;Sprinter;2008;2.2;231.0;7;D;false
7/23/2021;Volvo;V70;2003;2.4;269.0;3.1;D;false
11/28/2021;Audi;80;1993;1.9;277.0;800;D;true
12/30/2020;LandRover;Discovery;2005;2.7;209.0;8.8;D;true
3/21/2019;Volvo;C70;2000;2.4;241.0;2;P;false
7/26/2018;Audi;A4;1999;2.5;361.0;1.8;D;true
12/22/2019;Infinity;D094D180D183D0B3D0B8D0B5;2013;3.5;82.0;33;P;false
1/29/2022;Audi;A3;1998;1.6;250.0;1.55;P;true
07/05/2017;Opel;Vectra;2003;2.2;227.0;2.3;D;true
9/28/2022;Opel;Astra;1999;2.0;254.0;900;D;true
06/11/2018;Chrysler;Voyager;2001;2.5;210.0;1.9;D;true
7/16/2019;Bmw;5;2006;3.0;214.0;9.1;D;false
1/30/2022;Peugeot;Partner;2004;1.9;301.0;800;D;false
10/31/2020;Opel;Vectra;1997;2.0;300.0;650;D;true
3/14/2022;Mitsubishi;L200;2008;2.5;251.0;8.2;D;true
9/27/2018;Volkswagen;Tiguan;2010;2.0;157.0;12.25;P;false
05/01/2022;Audi;Quattro;1997;1.9;468.0;1.27;D;false
5/28/2018;Seat;Ibiza;2012;1.4;105.0;4.55;D;false
8/27/2018;Citroen;Berlingo;1998;1.9;370.0;700;D;false
